day_start,avg_block_time,successful_encrypted_txs,reverted_encrypted_txs,successful_general_encrypted_tx,successful_keyshares,decryption_keys,general_decryption_keys,total_users,active_users,new_users,users_1_tx,users_2_5_tx,users_5plus_tx,daily_txs,cumulative_txs
2025-07-15T00:00:00Z,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-16T00:00:00Z,1.03,11,0,0,41808,41808,0,10,10,10,7,0,3,41848,41848
2025-07-17T00:00:00Z,1.02,13,0,0,84757,84757,0,17,16,7,8,6,2,84815,126663
2025-07-18T00:00:00Z,1.02,23,0,0,84779,84779,0,38,27,21,16,9,2,84873,211536
2025-07-19T00:00:00Z,1.02,0,0,0,84711,84711,0,38,3,0,0,1,2,84735,296271
2025-07-20T00:00:00Z,1.02,9,0,0,84736,84736,0,41,24,3,19,2,3,84815,381086
2025-07-21T00:00:00Z,1.02,750,0,0,84719,84719,0,611,586,570,254,304,28,87004,468090
2025-07-22T00:00:00Z,1.02,1897,0,0,84381,84381,0,8472,7884,7861,5201,2461,222,159886,627976
2025-07-23T00:00:00Z,1.03,1254,0,0,83626,83626,0,21985,15215,13513,8278,6876,61,131919,759895
2025-07-24T00:00:00Z,1.03,2753,0,0,83440,83440,0,25319,7119,3334,1296,5775,48,99820,859715
2025-07-25T00:00:00Z,1.04,4854,0,0,73909,73909,0,29002,6186,3683,2469,3702,15,93169,952884
2025-07-26T00:00:00Z,1.03,2615,0,0,29808,29808,0,31259,2606,2257,2352,246,8,45118,998002
2025-07-27T00:00:00Z,1.06,1812,0,0,77317,77317,0,32983,3559,1724,3157,324,78,98070,1096072
2025-07-28T00:00:00Z,1.03,2305,0,0,83929,83929,0,33331,2228,348,956,1256,16,95820,1191892
2025-07-29T00:00:00Z,1.03,3835,0,0,83382,83382,0,34241,5781,910,1885,3888,8,94455,1286347
2025-07-30T00:00:00Z,1.03,1245,0,0,82510,82510,0,34640,1744,399,247,1486,11,87315,1373662
2025-07-31T00:00:00Z,1.06,2003,0,0,77600,77600,0,35124,2561,484,1379,1175,7,84613,1458275
2025-08-01T00:00:00Z,1.03,2957,0,0,84168,84168,0,35737,3783,613,654,3119,10,92174,1550449
2025-08-02T00:00:00Z,1.03,1540,0,0,83259,83259,0,36091,1833,354,601,1228,4,87879,1638328
2025-08-03T00:00:00Z,1.03,188,0,0,83284,83284,0,36178,325,87,100,220,5,84570,1722898
2025-08-04T00:00:00Z,1.03,0,0,0,83955,83955,0,36187,269,9,102,162,5,84921,1807819
2025-08-05T00:00:00Z,1.03,3,0,0,83735,83735,0,36197,465,10,238,219,8,84923,1892742
2025-08-06T00:00:00Z,1.03,4,0,0,83398,83398,0,36242,409,45,252,151,6,84531,1977273
2025-08-07T00:00:00Z,1.03,10,0,0,82989,82989,0,36247,185,5,121,61,3,83814,2061087
2025-08-08T00:00:00Z,1.03,3,0,0,83202,83202,0,36247,9,0,4,4,1,83601,2144688
2025-08-09T00:00:00Z,1.03,9,0,0,82918,82918,0,36248,9,1,7,0,2,83353,2228041
2025-08-10T00:00:00Z,1.03,0,0,0,82878,82878,0,36250,6,2,5,0,1,83309,2311350
2025-08-11T00:00:00Z,1.03,2,0,0,83187,83187,0,36251,9,1,4,3,2,83521,2394871
2025-08-12T00:00:00Z,1.03,3,0,0,83781,83781,0,36251,7,0,2,4,1,83899,2478770
2025-08-13T00:00:00Z,1.03,0,0,0,60222,60222,0,36251,4,0,1,2,1,60330,2539100
